번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
K1426,아들의 이름으로,드라마|스릴러,2021,25449,K,22829
K1427,영주,드라마,2018,24823,K,17660
K1428,쥬로링 동물탐정 극장판,어드벤처|판타지,2014,24810,K,14484
K1429,눈물,드라마|하이틴(고교)|사회물(경향),2001,24720,K,05268
K1430,낮술,코메디|드라마|로드무비,2009,24595,K,09512
K1431,메소드,드라마|동성애,2017,24573,K,16399
K1432,아부지,드라마,2009,24498,K,10282
K1433,카이: 거울 호수의 전설,드라마,2016,24451,K,15315
K1434,꿈의 제인,드라마,2017,24272,K,15779
K1435,고양이를 부탁해,드라마|청춘영화|사회물(경향),2001,24182,K,05507
K1436,더 데이,SF|판타지,2012,24163,A,05738
K1437,극장판 검정고무신: 즐거운 나의 집,가족,2022,24151,K,31341
K1438,그로우: 인피니트의 리얼 청춘 라이프,뮤직,2014,23926,A,06259
K1439,고속도로 가족,드라마|가족,2022,23825,K,31673
K1440,평화의 시대,액션|SF,2000,23824,K,05260
K1441,유포자들,범죄|드라마|스릴러,2022,23721,K,32852
K1442,얼굴없는 보스,드라마|액션|갱스터,2019,23711,K,20496
K1443,어부바,가족,2022,23674,K,28453
K1444,사요나라 이츠카,드라마|멜로/로맨스,2010,23605,K,11368
K1445,남매의 여름밤,드라마|가족,2020,23593,K,21465
K1446,연애담,드라마|멜로/로맨스,2016,23555,K,15340
K1447,송환,역사|인권,2004,23496,A,03370
K1448,이타미 준의 바다,인물,2019,23446,A,09026
K1449,내겐 너무 소중한 너,드라마,2021,23404,K,23861
K1450,개들의 전쟁,액션|드라마|코메디,2012,23390,K,13307
K1451,크리스마스 캐럴,드라마|액션,2022,23211,K,32617
K1452,노무현과 바보들,인물,2019,23133,A,08880
K1453,종려나무숲,멜로드라마,2005,22895,K,06672
K1454,거인,드라마,2014,22893,K,14384
K1455,"봄, 눈",드라마,2012,22870,K,13083
K1456,유리정원,미스터리|드라마,2017,22752,K,16420
K1457,애비규환,가족|드라마|코메디,2020,22729,K,23047
K1458,비욘드라이브 더 무비 : 엔시티 레조넌스,뮤직|인물,2022,22621,A,10761
K1459,히어로,코메디|드라마|SF|가족,2013,22617,K,13872
K1460,어른 김장하,인물,2023,22607,A,12514
K1461,카시오페아,드라마,2022,22429,K,28923
K1462,F20,스릴러,2021,22412,K,26714
K1463,비밀,드라마|미스터리,2000,22168,K,05230
K1464,스트리머,공포|미스터리,2023,22111,K,34095
K1465,파워배틀 와치카: 와치가면의 역습,액션|어드벤처,2017,22110,K,16342
K1466,사이비,스릴러,2013,22070,K,13994
K1467,터닝메카드W: 반다인의 비밀 특별판,어드벤처|판타지,2018,21947,K,17097
K1468,히야,드라마,2016,21687,K,15265
K1469,내게 남은 사랑을,드라마,2017,21599,K,16541
K1470,무문관,종교|인물,2018,21506,A,08262
K1471,죄 많은 소녀,드라마|미스터리,2018,21243,K,16661
K1472,"지금, 이대로가 좋아요",드라마,2009,21212,K,10143
K1473,싸이보그 그녀,코메디|멜로드라마|SF,2009,20975,K,10261
K1474,빈틈없는 사이,멜로/로맨스,2023,20926,K,34443
K1475,나쁜 나라,사회,2015,20803,A,06383
K1476,아 유 레디?,드라마|어드벤처|판타지|액션,2002,20774,K,05610
K1477,프린세스 아야,드라마|멜로/로맨스|판타지|뮤지컬,2022,20761,K,20897
K1478,날아라 펭귄,드라마,2009,20599,K,10435
K1479,치치핑핑의 쿵쿵따 탐험대,어드벤처|뮤직,2023,20432,A,12336
K1480,말임씨를 부탁해,드라마,2022,20295,K,24530
K1481,뚫어야 산다,액션|코메디,2002,20283,K,05595
K1482,아무도 없는 곳,드라마,2021,20221,K,20604
K1483,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라,어드벤처,2014,20175,K,14336
K1484,추억의 검정고무신,가족,2020,20113,K,23056
K1485,천안함 프로젝트,사회,2013,20085,A,05942
K1486,완전 소중한 사랑,드라마|멜로드라마,2013,20063,K,13907
K1487,60만번의 트라이,드라마|스포츠,2014,19919,A,06072
K1488,치악산,SF|공포|미스터리|스릴러,2023,19852,K,29245
K1489,첫눈,멜로드라마|드라마,2007,19734,K,09252
K1490,울지마 톤즈 2 : 슈크란 바바,인물,2020,19632,A,09659
K1491,웨딩스캔들,멜로드라마|코메디,2012,19569,K,13192
K1492,디데이(D-day) - 어느날 갑자기 세번째 이야기,공포(호러)|옴니버스,2006,19488,K,08177
K1493,B급 며느리,사회|인물,2018,19459,A,06622
K1494,커터,범죄|스릴러,2016,19405,K,15262
K1495,한산 리덕스,액션|드라마|전쟁|시대극/사극,2022,19314,K,33265
K1496,달팽이의 별,멜로드라마|인물,2012,19252,A,05503
K1497,오픈 더 도어,스릴러|미스터리,2023,19202,K,33315
K1498,소녀,드라마|미스터리,2013,18996,K,13968
K1499,어제 일은 모두 괜찮아,드라마,2019,18851,K,20656
K1500,누구에게나 찬란한,인물,2014,18804,A,06205
K1501,여행자,드라마,2009,18797,K,10850
K1502,돼지의 왕,스릴러,2011,18769,K,12946
K1503,방울토마토,드라마,2008,18533,K,08928
K1504,나는 여기에 있다,액션|범죄|스릴러,2023,18504,K,34039
K1505,섬. 사라진 사람들,스릴러,2016,18485,K,14996
K1506,너에게로 가는 길,드라마|멜로드라마,2021,18458,K,12278
K1507,그 후,드라마|멜로드라마,2017,18440,K,16264
K1508,연애(연애는 미친짓이다),드라마,2005,18383,K,06679
K1509,어쩌면 우린 헤어졌는지 모른다,드라마|멜로/로맨스,2023,18354,K,33775
K1510,마법경찰 갈갈이와 옥동자,코메디,2004,18346,K,06119
K1511,아이들은 즐겁다,드라마,2021,18302,K,23844
K1512,동백,드라마|가족|전쟁,2021,18272,K,23909
K1513,트와이스랜드,뮤직|인물,2018,18252,A,08353
K1514,쿼바디스,시대극/사극|드라마,2014,18248,A,06202
K1515,한경직,종교|인물,2012,18113,A,05825
K1516,프랑스여자,드라마,2020,18106,K,20696
K1517,하늘과 바다,드라마|뮤직,2009,18059,K,10817
K1518,당신자신과 당신의 것,드라마,2016,17924,K,15634
K1519,이별계약,드라마|멜로/로맨스,2013,17797,K,13500
K1520,나는 나를 해고하지 않는다,드라마,2021,17741,K,22615
K1521,돌멩이,드라마,2020,17632,K,17735
K1522,스톤,드라마|액션,2014,17631,K,13951
K1523,2008 서태지심포니 위드 톨가 카쉬프 로열 필하모닉,뮤직,2010,17563,A,04916
K1524,마법의 성,코메디|드라마|멜로드라마,2002,17450,K,05795
K1525,뚜르: 내 생애 최고의 49일,인물,2017,17449,A,06550
K1526,태양을 쏴라,느와르,2015,17444,K,14421
K1527,터치,드라마,2012,17403,K,13316
K1528,두레소리,드라마,2012,17362,K,12892
K1529,몬테크리스토: 더 뮤지컬 라이브,뮤지컬,2021,17264,A,10057
K1530,삼거리 극장,뮤지컬|코메디|공포,2006,17216,K,08164
K1531,영매-산자와 죽은자의 화해,문화,2003,17200,K,06045
K1532,어떤살인,드라마|스릴러|범죄,2015,17190,K,15019
K1533,룸 쉐어링,드라마|코메디|가족,2022,17040,K,28869
K1534,길,드라마,2017,17014,K,16300
K1535,잉투기,드라마|액션,2013,16859,K,13988
K1536,비스트 앵콜 콘서트 3D,뮤직,2012,16844,A,05740
K1537,명왕성,드라마|스릴러,2013,16828,K,13421
