번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
F1070,세이빙 산타,코메디|가족,2013,235688,F,32064
F1071,클로저,드라마|멜로/로맨스,2005,235466,F,09898
F1072,닌자터틀: 어둠의 히어로,액션|코메디|어드벤처|판타지|SF,2016,235207,F,35328
F1073,네버랜드를 찾아서,드라마|전기,2005,234427,F,09871
F1074,괴물,드라마|미스터리|스릴러,2023,233909,F,58802
F1075,비행기,코메디|어드벤처,2013,233563,F,31791
F1076,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,어드벤처,2015,233347,F,33676
F1077,드림 쏭,어드벤처|뮤직,2016,233283,F,36214
F1078,세븐 파운즈,드라마,2009,232972,F,23657
F1079,나일 강의 죽음,범죄|드라마|미스터리,2022,232883,F,51703
F1080,스튜어트 리틀 2,코메디|어드벤처|가족|판타지,2002,232622,F,08003
F1081,디파이언스,드라마|전쟁,2009,232532,F,23413
F1082,원스,멜로드라마|뮤직,2007,232459,F,21265
F1083,"심슨 가족, 더 무비",코메디|어드벤처,2007,231382,F,21149
F1084,메간,공포|스릴러,2023,230874,F,57709
F1085,유(U)-571,액션|드라마|전쟁,2000,230822,F,07189
F1086,아바타,액션|SF|어드벤처,2022,230712,F,24464
F1087,명탐정 코난: 비색의 탄환,미스터리,2021,230672,F,52884
F1088,시카리오: 데이 오브 솔다도,액션|범죄|스릴러|드라마,2018,229542,F,41462
F1089,바벨,드라마,2007,229144,F,20074
F1090,포스카인드,공포(호러)|SF|미스터리|스릴러,2010,229014,F,26237
F1091,컨테이젼,액션|SF|스릴러,2011,228899,F,28391
F1092,엑소시스트,공포(호러)|스릴러,2001,228615,F,01815
F1093,쓰리데이즈 투 킬,드라마|액션|스릴러,2014,228539,F,32400
F1094,극장판 도라에몽: 진구의 공룡대탐험,어드벤처|아동|가족,2009,228143,F,24353
F1095,캐빈 인 더 우즈,공포|액션|SF|스릴러,2012,228090,F,29639
F1096,일곱난쟁이,가족|어드벤처,2014,227586,F,33779
F1097,바빌론 A.D.,액션|SF|어드벤처,2008,227354,F,22649
F1098,캐시트럭,스릴러|액션,2021,227065,F,53227
F1099,딥,뮤지컬|어드벤처|코메디,2017,226933,F,39376
F1100,본 아이덴티티,액션|드라마|어드벤처|첩보|미스터리|스릴러,2002,226364,F,08001
F1101,크루즈 패밀리 : 뉴 에이지,어드벤처|코메디|가족,2021,226358,F,52344
F1102,4.4.4,공포(호러)|스릴러,2007,226112,F,20526
F1103,극장판 루팡 3세 VS 명탐정 코난,드라마|미스터리,2014,225842,F,32753
F1104,멕시칸,코메디|범죄,2001,225837,F,07462
F1105,에린 브로코비치,드라마|전기,2000,225503,F,06982
F1106,잡스,드라마,2013,225146,F,31127
F1107,가필드 2,코메디|가족,2006,224893,F,11802
F1108,괴물의 아이,어드벤처|판타지,2015,224849,F,35156
F1109,내겐 너무 가벼운 그녀,코메디|드라마,2002,224800,F,07822
F1110,무서운 영화,코메디|공포(호러),2000,224626,F,07176
F1111,사무라이 픽션,액션|코메디|어드벤처,2000,224256,F,06847
