번호,영화명,개봉일,전국관객수,서울관객수,개봉연도,관객수기준,장르,kmdb제목,kmdb장르
2302,무간도3 - 종극무간,2004-07-02,0,"44,000",2004,44000,드라마,무간도3 - 종극무간,액션|드라마|범죄|느와르
2303,프랑켄위니,2012-10-11,"43,978","17,259",2012,43978,애니메이션,프랑켄위니,공포|코메디|SF
2304,플래그 더 문,2016-06-02,"43,743","8,882",2016,43743,애니메이션,플래그 더 문,어드벤처|코메디
2305,키드,2001-02-17,0,"43,697",2001,43697,드라마,키드,코메디|드라마|가족|판타지
2306,다이노 어드벤처2: 육해공 공룡 대백과,2018-10-09,"43,627","6,630",2018,43627,애니메이션,다이노 어드벤처 2: 육해공 공룡 대백과,액션|가족
2307,울브스,2014-11-13,"43,613","13,006",2014,43613,판타지,울브스,공포|액션|판타지
2308,아일라,2018-06-21,"43,612","14,574",2018,43612,드라마,아일라: 전쟁의 딸,드라마|시대극/사극|전쟁
2309,스위트 룸,2006-04-06,"43,550","12,599",2006,43550,스릴러,스위트룸,스릴러
2310,파비안느에 관한 진실,2019-12-05,"43,459","30,021",2019,43459,드라마,파비안느에 관한 진실,드라마
2311,귀멸의 칼날: 나타구모산 편,2021-11-17,"43,431","10,583",2021,43431,애니메이션,귀멸의 칼날: 나타구모산 편,시대극/사극|판타지|액션
2312,실베스타스탤론의 디-톡스,2002-02-07,0,"43,415",2002,43415,드라마,실베스타스탤론의 디-톡스,드라마|공포(호러)|스릴러
2313,타인의 삶,2007-03-22,"43,288","36,964",2007,43288,드라마,타인의 삶,드라마|스릴러
2314,비카인드 리와인드,2009-01-08,"43,281","23,628",2009,43281,코미디,비카인드 리와인드,코메디|SF
2315,업사이드,2019-06-13,"43,265","17,317",2019,43265,코미디,업사이드,코메디|드라마
2316,고백,2011-03-31,"43,127","27,659",2011,43127,드라마,고백,드라마
2317,황색 눈물,2007-06-14,"43,094","27,019",2007,43094,드라마,황색눈물,드라마
2318,스위트 노벰버,2001-09-27,0,"42,937",2001,42937,드라마,스위트 노벰버,코메디|드라마
2319,빅트립: 아기팬더 배달 대모험,2019-10-23,"42,914","6,410",2019,42914,애니메이션,빅트립: 아기팬더 배달 대모험,어드벤처|코메디|가족
2320,꼬마돼지 베이브의 대모험,2017-06-15,"42,879","6,388",2017,42879,애니메이션,꼬마돼지 베이브의 대모험,어드벤처
2321,무지개 여신,2006-11-30,"42,842","27,359",2006,42842,멜로/로맨스,무지개 여신,드라마|멜로드라마
2322,마담 싸이코,2019-06-26,"42,742","16,075",2019,42742,공포(호러),마담 싸이코,드라마|스릴러|공포|미스터리
2323,루이스 웨인: 사랑을 그린 고양이 화가,2022-04-06,"42,737","18,451",2022,42737,드라마,루이스 웨인: 사랑을 그린 고양이 화가,드라마|멜로/로맨스
2324,스페이스 독,2012-03-22,"42,720","6,302",2012,42720,애니메이션,스페이스 독,코메디|가족|어드벤처
2325,호스트,2013-04-04,"42,708","17,599",2013,42708,SF,호스트,SF|스릴러
2326,캅 랜드,2000-01-15,0,"42,672",2000,42672,범죄,캅 랜드,액션|드라마|범죄|스릴러
2327,로마,2018-12-12,"42,569","33,285",2018,42569,드라마,로마,드라마
2328,스티그마타,2000-04-01,0,"42,516",2000,42516,공포(호러),스티그마타,드라마|공포(호러)|미스터리|판타지|스릴러
2329,쿠르스크,2019-01-16,"42,484","21,029",2019,42484,드라마,쿠르스크,드라마
2330,아네트,2021-10-27,"42,424","25,026",2021,42424,드라마,아네트,드라마|뮤지컬
2331,래더 49,2005-03-25,"42,419","11,969",2005,42419,드라마,래더 49,액션|드라마|스릴러
2332,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,2017-11-16,"42,413","15,898",2017,42413,애니메이션,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,액션|판타지
2333,크립,2006-06-15,"42,387","12,904",2006,42387,스릴러,크립,공포(호러)|스릴러
2334,그레이트 뷰티,2014-06-12,"42,274","28,823",2014,42274,드라마,그레이트 뷰티,드라마|코메디
2335,스탠리의 도시락,2012-03-08,"42,210","17,779",2012,42210,드라마,스탠리의 도시락,드라마
2336,피케이: 별에서 온 얼간이,2015-09-03,"42,088","17,050",2015,42088,코미디,피케이: 별에서 온 얼간이,코메디
2337,팜므 파탈,2004-11-17,"42,000","15,025",2004,42000,범죄,L.A. 팜므파탈,드라마|스릴러
2338,천국에 다녀온 소년,2014-06-12,"41,957","19,082",2014,41957,드라마,천국에 다녀온 소년,드라마
2339,일일시호일,2019-01-17,"41,931","23,841",2019,41931,드라마,일일시호일,드라마
2340,퀸 오브 뱀파이어,2002-06-28,0,"41,922",2002,41922,공포(호러),퀸 오브 뱀파이어,공포(호러)|뮤직|판타지
2341,환생,2003-10-31,"41,853","20,165",2003,41853,멜로/로맨스,환생,드라마|판타지
2342,리틀 러너,2007-03-14,"41,727","15,419",2007,41727,드라마,리틀 러너,코메디|드라마
2343,피아니스트의 전설,2020-01-01,"41,680","24,197",2020,41680,드라마,피아니스트의 전설,드라마|뮤직|판타지
2344,라스트프로포즈,2009-03-05,"41,620","11,830",2009,41620,멜로/로맨스,라스트 프로포즈,멜로드라마
2345,더 와이프,2019-02-27,"41,525","23,941",2019,41525,드라마,더 와이프,드라마
2346,저스트 비지팅,2001-09-13,0,"41,443",2001,41443,액션,저스트 비지팅,코메디|판타지
2347,스푹스:MI5,2016-03-17,"41,416","11,837",2016,41416,액션,스푹스:MI5,액션
2348,말리그넌트,2021-09-15,"41,412","12,748",2021,41412,스릴러,말리그넌트,미스터리|스릴러
2349,나쁜 이웃들,2014-07-03,"41,301","14,209",2014,41301,코미디,나쁜 이웃들,코메디
2350,스니치,2013-05-09,"41,242","10,724",2013,41242,액션,스니치,드라마|액션|스릴러
2351,블레임 : 인류멸망 2011,2009-02-26,"41,209","11,530",2009,41209,SF,블레임: 인류멸망 2011,SF|재난|미스터리|스릴러
2352,도쿄!,2008-10-23,"41,198","29,431",2008,41198,드라마,도쿄!,드라마|멜로드라마
2353,진짜로 일어날지도 몰라 기적,2011-12-22,"41,172","33,465",2011,41172,드라마,진짜로 일어날지도 몰라 기적,드라마
2354,여름날 우리,2021-08-25,"41,138","17,801",2021,41138,코미디,여름날 우리,코메디|멜로/로맨스|드라마
2355,모리타니안,2021-03-17,"41,071","13,645",2021,41071,스릴러,모리타니안,스릴러|드라마
2356,잔예 - 살아서는 안되는 방,2016-07-07,"41,023","9,582",2016,41023,공포(호러),잔예 - 살아서는 안되는 방,공포|미스터리
2357,레플리카,2019-09-25,"40,985","17,982",2019,40985,범죄,레플리카,범죄|미스터리|SF|스릴러
2358,도화선,2008-06-12,"40,978","16,684",2008,40978,액션,도화선,액션
2359,더 포리너,2018-02-07,"40,882","12,820",2018,40882,액션,더 포리너,액션|드라마|범죄
2360,와인 미라클,2008-11-13,"40,842","22,622",2008,40842,코미디,와인 미라클,코메디|드라마
2361,하트 브레이커,2012-04-19,"40,793","14,953",2012,40793,코미디,하트브레이커,멜로드라마|코메디
2362,세인트 클라우드,2011-01-13,"40,766","16,310",2011,40766,멜로/로맨스,세인트 클라우드,드라마|멜로드라마|판타지
2363,예감은 틀리지 않는다,2017-08-10,"40,750","24,261",2017,40750,드라마,예감은 틀리지 않는다,드라마
2364,"어쩌다 공주, 닭냥이 왕자를 부탁해!",2022-09-08,"40,741","9,218",2022,40741,애니메이션,"어쩌다 공주, 닭냥이 왕자를 부탁해!",판타지|어드벤처
2365,나이트메어 앨리,2022-02-23,"40,679","21,096",2022,40679,범죄,나이트메어 앨리,드라마|미스터리|스릴러|액션|범죄
2366,번 애프터 리딩,2009-03-26,"40,604","24,755",2009,40604,코미디,번 애프터 리딩,코메디|범죄
2367,데모닉,2015-06-25,"40,519","12,197",2015,40519,공포(호러),데모닉,공포
2368,마오의 라스트 댄서,2011-04-28,"40,519","20,208",2011,40519,드라마,마오의 라스트 댄서,드라마|인물
2369,모탈 컴뱃,2021-04-08,"40,461","11,230",2021,40461,액션,모탈 컴뱃,액션|어드벤처|판타지
2370,와사비 레옹 파트 2,2003-04-11,"40,414","15,057",2003,40414,액션,와사비 레옹파트 2,액션|코메디|드라마|범죄|스릴러
2371,코블러,2015-04-08,"40,366","15,131",2015,40366,판타지,코블러,드라마|코메디|판타지
2372,아무도 모른다,2005-04-01,"40,310","26,649",2005,40310,드라마,아무도 모른다,드라마
2373,이모티: 더 무비,2017-08-02,"40,221","12,576",2017,40221,애니메이션,이모티: 더 무비,어드벤처
2374,"웰컴, 삼바",2015-02-18,"40,214","19,338",2015,40214,코미디,"웰컴, 삼바",코메디
2375,G-포스: 기니피그 특공대,2010-04-22,"40,161","11,835",2010,40161,가족,G-포스: 기니피그 특공대,코메디|드라마|가족|판타지
2376,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,2021-12-09,"40,128","12,308",2021,40128,애니메이션,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,액션|판타지
2377,아델라인 : 멈춰진 시간,2015-10-15,"40,096","16,730",2015,40096,판타지,아델라인: 멈춰진 시간,멜로드라마|판타지
2378,누들,2008-08-14,"40,094","24,631",2008,40094,드라마,누들,드라마
2379,토마스와 친구들 - 극장판,2009-04-09,"40,058","14,013",2009,40058,애니메이션,토마스와 친구들 - 극장판2,드라마|어드벤처|아동
2380,꽃다발 같은 사랑을 했다,2021-07-14,"39,832","20,858",2021,39832,멜로/로맨스,꽃다발 같은 사랑을 했다,멜로/로맨스
2381,세이프 헤이븐,2013-11-06,"39,731","16,937",2013,39731,멜로/로맨스,세이프 헤이븐,드라마|멜로드라마
2382,프리퀀시,2000-11-24,0,"39,595",2000,39595,범죄,프리퀀시,드라마|SF|스릴러
2383,노다메 칸타빌레 최종악장,2011-01-13,"39,585","20,730",2011,39585,드라마,노다메 칸타빌레 최종악장,코메디|드라마|청춘영화|뮤직
2384,스위밍 풀,2003-08-22,"39,500","27,000",2003,39500,드라마,스위밍 풀,드라마|미스터리
2385,리스타트,2021-03-11,"39,472","10,080",2021,39472,액션,리스타트,액션
2386,신데렐라 2: 마법에 걸린 왕자,2021-12-22,"39,401","7,126",2021,39401,애니메이션,신데렐라 2: 마법에 걸린 왕자,판타지|어드벤처
2387,스트리트 댄스 2: 라틴배틀,2012-07-12,"39,394","14,250",2012,39394,드라마,스트리트 댄스 2: 라틴배틀,드라마|뮤직
2388,그날 본 꽃의 이름을 우리는 아직 모른다,2014-02-20,"39,349","14,765",2014,39349,애니메이션,그날 본 꽃의 이름을 우리는 아직 모른다,드라마|판타지
2389,글루미 선데이,2000-10-21,0,"39,308",2000,39308,드라마,글루미 선데이,드라마|멜로/로맨스
2390,그레이브 인카운터,2012-08-01,"39,266","11,900",2012,39266,공포(호러),그레이브 인카운터,공포(호러)
2391,스토커,2002-12-06,0,"39,200",2002,39200,스릴러,스토커,드라마|스릴러
2392,애프터 양,2022-06-01,"38,968","27,132",2022,38968,드라마,애프터 양,SF|드라마
2393,레이디킬러,2004-06-04,"38,883","32,177",2004,38883,코미디,레이디 킬러,코메디|공포(호러)|범죄
2394,탑 블레이드 더 무비,2009-01-15,"38,862","11,048",2009,38862,애니메이션,탑 블레이드 더 무비,액션|어드벤처|아동
2395,"고흐, 영원의 문에서",2019-12-26,"38,816","22,416",2019,38816,드라마,"고흐, 영원의 문에서",드라마|전기
2396,아이리시맨,2019-11-20,"38,739","27,377",2019,38739,범죄,아이리시맨,범죄|드라마|스릴러|전기
2397,동급생,2016-05-19,"38,706","17,010",2016,38706,애니메이션,동급생,드라마|청춘영화|하이틴(고교)|동성애
2398,구구는 고양이다,2008-10-16,"38,658","30,144",2008,38658,코미디,구구는 고양이다,코메디|드라마
2399,내일을 위한 시간,2015-01-01,"38,558","24,489",2015,38558,드라마,내일을 위한 시간,드라마
2400,틴에이지 크라켄 루비,2023-07-25,"38,547","6,900",2023,38547,애니메이션,틴에이지 크라켄 루비,어드벤처|액션|판타지
2401,나의 그리스식 웨딩 2,2016-03-30,"38,305","15,488",2016,38305,코미디,나의 그리스식 웨딩 2,코메디
2402,몬스터 파크,2019-01-23,"38,262","5,733",2019,38262,애니메이션,몬스터 파크,어드벤처|코메디|가족|판타지
2403,정글번치: 너구리 해적단과 보물지도,2015-06-25,"38,219","7,115",2015,38219,애니메이션,정글번치: 너구리 해적단과 보물지도,어드벤처
2404,신은 죽지 않았다,2015-04-16,"38,149","17,134",2015,38149,드라마,신은 죽지 않았다,드라마
2405,TAR 타르,2023-02-22,"38,090","23,614",2023,38090,드라마,TAR 타르,드라마|뮤직
2406,다운 위드 러브,2003-10-17,"38,000","22,450",2003,38000,멜로/로맨스,다운 위드 러브,코메디
2407,붉은 돼지,2003-12-19,"37,960","17,905",2003,37960,애니메이션,붉은 돼지,코메디|드라마|어드벤처|가족
2408,오토라는 남자,2023-03-29,"37,917","15,092",2023,37917,드라마,오토라는 남자,코메디|드라마
2409,쟈니 잉글리쉬2 : 네버다이,2011-11-02,"37,823","11,160",2011,37823,코미디,쟈니 잉글리쉬2 : 네버다이,코메디
2410,이별의 아침에 약속의 꽃을 장식하자,2018-07-19,"37,764","12,465",2018,37764,애니메이션,이별의 아침에 약속의 꽃을 장식하자,드라마|판타지
2411,플레인,2023-03-15,"37,691","12,650",2023,37691,액션,플레인,액션|스릴러
2412,나누와 실라의 대모험,2007-08-15,"37,676","15,541",2007,37676,다큐멘터리,나누와 실라의 대모험,드라마
2413,슈퍼노바 지구 탈출기,2014-02-13,"37,547","10,810",2014,37547,애니메이션,슈퍼노바 지구 탈출기,SF|코메디|가족|어드벤처
2414,러브액츄얼리: 크리스마스 에디션,2013-12-18,"37,397","23,753",2013,37397,멜로/로맨스,러브 액츄얼리,코메디|드라마|멜로/로맨스
2415,정글번치: 최강 악당의 등장,2018-04-19,"37,343","6,729",2018,37343,애니메이션,정글번치: 최강 악당의 등장,어드벤처|코메디
2416,하이큐!! 승자와 패자,2016-12-28,"37,329","11,281",2016,37329,애니메이션,하이큐!! 승자와 패자,드라마|청춘영화|스포츠
2417,스토리 오브 어스,2000-09-30,0,"37,322",2000,37322,멜로/로맨스,스토리 오브 어스,코메디|드라마
2418,다키스트 아워,2018-01-17,"37,300","26,613",2018,37300,드라마,다키스트 아워,드라마|전쟁
2419,툴리,2018-11-22,"37,241","18,324",2018,37241,드라마,툴리,코메디|드라마
2420,레미니센스,2021-08-25,"37,227","13,112",2021,37227,SF,레미니센스,SF|미스터리|멜로/로맨스
2421,추억의 마니,2015-03-19,"37,182","15,878",2015,37182,애니메이션,추억의 마니,드라마
2422,사이드 이펙트,2013-07-11,"37,134","15,206",2013,37134,스릴러,사이드 이펙트,드라마|범죄|스릴러
2423,폭풍우 치는 밤에: 비밀 친구,2013-05-01,"37,112","7,751",2013,37112,애니메이션,폭풍우 치는 밤에: 비밀친구,드라마|아동
2424,히 러브스 미... 히 러브스 미 낫,2003-02-14,"37,100","22,700",2003,37100,멜로/로맨스,"히 러브스 미, 히 러브스 미 낫",드라마|스릴러
2425,기쿠지로의 여름,2002-08-30,0,"37,078",2002,37078,코미디,기쿠지로의 여름,코메디|드라마|로드무비
2426,애프터: 그 후,2020-10-07,"36,962","12,502",2020,36962,멜로/로맨스,애프터: 그 후,드라마|멜로/로맨스
2427,바스켓볼 다이어리,2000-04-29,0,"36,953",2000,36953,범죄,바스켓볼 다이어리,드라마|청춘영화|전기
2428,서바이빙 크리스마스,2004-12-24,"36,875","12,999",2004,36875,코미디,서바이빙 크리스마스,코메디|가족
2429,에코 플래닛 3D : 지구 구출 특급 대작전,2013-10-09,"36,811","8,456",2013,36811,애니메이션,에코 플래닛 3D : 지구 구출 특급 대작전,드라마|액션
2430,파가니니: 악마의 바이올리니스트,2014-04-23,"36,808","20,058",2014,36808,드라마,파가니니: 악마의 바이올리니스트,드라마|뮤직
2431,반딧불이 딘딘,2018-02-22,"36,737","4,068",2018,36737,애니메이션,반딧불이 딘딘,어드벤처|아동|드라마
2432,언더월드: 라이칸의 반란,2009-09-03,"36,737","7,117",2009,36737,판타지,언더월드: 라이칸의 반란,액션|SF|판타지
2433,몬스터 볼,2002-10-24,0,"36,529",2002,36529,드라마,몬스터 볼,드라마
2434,극장판 썬더일레븐 GO VS 골판지 전사 W,2013-06-05,"36,492","7,400",2013,36492,애니메이션,극장판 썬더일레븐 GO VS 골판지전사 W,드라마
2435,스노든,2017-02-09,"36,485","16,913",2017,36485,스릴러,스노든,스릴러|드라마|전기
2436,가필드 펫 포스 3D,2011-01-27,"36,420","9,651",2011,36420,애니메이션,가필드 펫 포스 3D,코메디|가족
2437,반교: 디텐션,2020-08-13,"36,405","12,886",2020,36405,공포(호러),반교: 디텐션,스릴러|공포
2438,고스포드 파크,2002-04-12,0,"36,401",2002,36401,드라마,고스포드 파크,코메디|드라마|범죄|미스터리
2439,다크 하우스,2017-06-22,"36,350","9,959",2017,36350,공포(호러),다크 하우스,공포|스릴러
2440,민스미트 작전,2022-05-11,"36,313","16,176",2022,36313,드라마,민스미트 작전,전쟁|드라마
2441,벅스 프렌즈,2018-06-06,"36,308","6,065",2018,36308,애니메이션,벅스 프렌즈,어드벤처|아동
2442,갓파 쿠와 여름방학을,2008-06-26,"36,274","17,741",2008,36274,애니메이션,갓파쿠와 여름방학을,드라마|아동|판타지
2443,건파우더 밀크셰이크,2021-09-08,"36,265","14,632",2021,36265,액션,건파우더 밀크셰이크,액션|어드벤처|스릴러
2444,콜 오브 와일드,2020-05-14,"36,245","10,807",2020,36245,어드벤처,콜 오브 와일드,어드벤처|드라마|가족
2445,어나더 라운드,2022-01-19,"36,126","24,357",2022,36126,코미디,어나더 라운드,드라마
2446,더 스토리: 세상에 숨겨진 사랑,2012-12-06,"36,068","22,287",2012,36068,드라마,더 스토리: 세상에 숨겨진 사랑,멜로드라마
2447,마법의 세계 녹터나,2009-08-27,"35,959","8,385",2009,35959,애니메이션,마법의 세계 녹터나,드라마|어드벤처|아동|가족|판타지
2448,스타스키와 허치,2004-04-30,"35,908","21,503",2004,35908,액션,스타스키와 허치,액션|코메디|범죄
2449,드래곤볼 슈퍼: 브로리,2019-02-14,"35,869","13,226",2019,35869,애니메이션,드래곤볼 슈퍼: 브로리,SF|액션|어드벤처
2450,워터 보이즈,2002-08-15,0,"35,521",2002,35521,코미디,워터보이즈,코메디|하이틴(고교)
2451,"미안해요, 리키",2019-12-19,"35,519","22,204",2019,35519,드라마,"미안해요, 리키",드라마
2452,빌리와 용감한 녀석들: 치킨 히어로,2016-02-17,"35,517","7,673",2016,35517,애니메이션,빌리와 용감한 녀석들: 치킨 히어로,코메디|어드벤처
2453,잠깐만 회사 좀 관두고 올게,2017-10-19,"35,429","16,042",2017,35429,드라마,잠깐만 회사 좀 관두고 올게,드라마
2454,인게이지먼트,2005-03-11,"35,400","20,100",2005,35400,드라마,인게이지먼트,드라마|미스터리|전쟁
2455,비투스,2008-04-09,"35,354","23,341",2008,35354,드라마,비투스,드라마|뮤직|판타지
2456,문라이즈 킹덤,2013-01-31,"35,328","28,598",2013,35328,코미디,문라이즈 킹덤,드라마|코메디|어드벤처
2457,브루클린의 멋진 주말,2016-01-21,"35,318","19,897",2016,35318,드라마,브루클린의 멋진 주말,드라마
2458,우리의 20세기,2017-09-27,"35,296","23,503",2017,35296,드라마,우리의 20세기,드라마
2459,세 번째 살인,2017-12-14,"35,271","22,936",2017,35271,스릴러,세 번째 살인,드라마
2460,위핏,2010-02-18,"35,241","8,993",2010,35241,드라마,위핏,액션|드라마|청춘영화
2461,처음 본 그녀에게 프로포즈하기,2009-09-09,"35,213","10,815",2009,35213,코미디,처음 본 그녀에게 프로포즈하기,코메디|멜로드라마
2462,배니싱: 미제사건,2022-03-30,"35,144","13,463",2022,35144,범죄,배니싱: 미제사건,범죄|미스터리|멜로/로맨스
2463,은혼 더 파이널,2021-07-22,"35,126","12,000",2021,35126,애니메이션,은혼 더 파이널,코메디|시대극/사극|SF
2464,엘르,2017-06-15,"35,122","20,740",2017,35122,드라마,엘르,드라마|스릴러|범죄
2465,키코리키: 황금모자의 비밀,2017-01-25,"35,111","8,090",2017,35111,애니메이션,키코리키: 황금모자의 비밀,어드벤처
2466,"그 시절, 우리가 좋아했던 소녀",2012-08-22,"34,995","21,563",2012,34995,멜로/로맨스,"그 시절, 우리가 좋아했던 소녀",멜로드라마
2467,임피 원더랜드 가다,2009-06-11,"34,995","9,657",2009,34995,애니메이션,임피 원더랜드 가다,어드벤처
2468,드래곤 헌터,2013-01-24,"34,984","9,393",2013,34984,애니메이션,드래곤 헌터,어드벤처|판타지
2469,피터와 모글리의 크리스마스 어드벤처,2017-11-23,"34,899","4,409",2017,34899,애니메이션,피터와 모글리의 크리스마스 어드벤처,어드벤처
2470,"오늘 밤, 로맨스 극장에서",2018-07-11,"34,897","14,531",2018,34897,판타지,"오늘 밤, 로맨스 극장에서",멜로드라마|판타지
2471,몬스터 왕국,2014-05-01,"34,888","6,509",2014,34888,애니메이션,몬스터 왕국,어드벤처|판타지
2472,펭귄 하이웨이,2018-10-18,"34,795","12,079",2018,34795,애니메이션,펭귄 하이웨이,판타지|어드벤처
2473,더 헌트,2013-01-24,"34,724","27,204",2013,34724,드라마,더 헌트,드라마
2474,하비의 마지막 로맨스,2010-10-28,"34,670","23,192",2010,34670,멜로/로맨스,하비의 마지막 로맨스,드라마|멜로드라마
2475,빠삐용,2019-02-27,"34,638","12,996",2019,34638,범죄,빠삐용,범죄|드라마
2476,음모자,2011-06-30,"34,625","18,107",2011,34625,드라마,음모자,드라마
2477,녹터널 애니멀스,2017-01-11,"34,616","20,648",2017,34616,드라마,녹터널 애니멀스,드라마|스릴러
2478,신은 죽지 않았다 2,2016-04-07,"34,584","14,701",2016,34584,드라마,신은 죽지 않았다 2,드라마
2479,파운더,2017-04-20,"34,517","17,982",2017,34517,드라마,파운더,드라마|전기|역사
2480,필로미나의 기적,2014-04-16,"34,501","17,081",2014,34501,드라마,필로미나의 기적,드라마
2481,극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,"34,466","7,317",2018,34466,애니메이션,극장판 레이디버그: 미라클스톤의 비밀,판타지|어드벤처
2482,핑크 팬더,2006-04-13,"34,450","9,850",2006,34450,코미디,핑크팬더,코메디|범죄
2483,태양의 노래,2007-02-22,"34,427","16,094",2007,34427,드라마,태양의 노래,드라마
2484,"헤일, 시저!",2016-03-24,"34,295","19,272",2016,34295,코미디,"헤일, 시저!",코메디|드라마|뮤지컬
2485,아이 엠 러브,2011-01-20,"34,269","27,161",2011,34269,드라마,아이 엠 러브,드라마|멜로/로맨스
2486,뱅드림! 필름 라이브 세컨드 스테이지,2021-11-18,"34,202","13,369",2021,34202,애니메이션,뱅드림! 필름 라이브 세컨드 스테이지,뮤직
2487,7번째 내가 죽던 날,2017-05-31,"34,184","10,255",2017,34184,드라마,7번째 내가 죽던 날,드라마|미스터리
2488,퀼스,2001-03-17,0,"34,147",2001,34147,드라마,퀼스,시대극/사극|드라마
2489,트랩트,2002-11-20,0,"34,146",2002,34146,액션,트랩트,드라마|범죄|스릴러
2490,줄리 & 줄리아,2009-12-10,"34,097","26,576",2009,34097,드라마,줄리 줄리아,드라마
2491,피아노의 숲,2008-10-30,"34,012","17,344",2008,34012,애니메이션,피아노의 숲,드라마|뮤직|판타지
2492,빅 웨딩,2013-06-27,"33,993","20,005",2013,33993,멜로/로맨스,빅 웨딩,멜로드라마|코메디
2493,에블린,2003-06-20,"33,920","16,919",2003,33920,드라마,에블린,드라마
2494,어메이징 메리,2017-10-04,"33,901","18,198",2017,33901,드라마,어메이징 메리,드라마
2495,똑똑똑,2023-03-08,"33,771","14,163",2023,33771,미스터리,똑똑똑,공포|미스터리|스릴러
2496,몬스터 하우스2: 인비져블 피닉스,2023-02-02,"33,671","3,127",2023,33671,애니메이션,몬스터 하우스2: 인비져블 피닉스,어드벤처|판타지
2497,스페이스 키드: 우주에서 살아남기,2022-12-07,"33,626","3,442",2022,33626,애니메이션,스페이스 키드: 우주에서 살아남기,어드벤처|코메디
2498,오직 사랑하는 이들만이 살아남는다,2014-01-09,"33,579","23,450",2014,33579,드라마,오직 사랑하는 이들만이 살아남는다,공포|드라마|멜로드라마
2499,마스터,2013-07-11,"33,505","25,404",2013,33505,드라마,마스터,드라마
2500,코난: 암흑의 시대,2012-04-05,"33,469","9,981",2012,33469,판타지,코난 : 암흑의 시대,액션|판타지
2501,더 재킷,2008-01-10,94,"33,468",2008,33468,스릴러,더 재킷,드라마|공포(호러)|판타지|스릴러
2502,리틀드래곤 코코넛,2015-07-02,"33,464","7,072",2015,33464,애니메이션,리틀드래곤 코코넛,가족
2503,몬스터 신부: 101번째 프로포즈,2022-12-28,"33,428","6,674",2022,33428,애니메이션,몬스터 신부 : 101번째 프로포즈,어드벤처|코메디|드라마|가족|판타지|멜로/로맨스
2504,배틀 오브 비보이,2014-01-09,"33,360","7,054",2014,33360,드라마,배틀 오브 비보이,뮤직
2505,스페이스 카우보이,2000-10-13,0,"33,274",2000,33274,SF,스페이스 카우보이,코메디|드라마|SF|어드벤처
2506,인랑,2000-12-01,0,"33,239",2000,33239,스릴러,인랑,액션|드라마|판타지|스릴러
2507,무한대를 본 남자,2016-11-03,"33,188","12,460",2016,33188,드라마,무한대를 본 남자,드라마|전기
2508,스파이더맨: 노 웨이 홈 '펀버전',2022-10-05,"33,071","10,974",2022,33071,액션,스파이더맨: 노 웨이 홈 '펀 버전',액션|어드벤처|SF
2509,"땡큐, 대디",2015-04-23,"33,036","15,784",2015,33036,드라마,"땡큐, 대디",드라마
2510,모스맨,2002-04-18,0,"33,032",2002,33032,스릴러,모스맨,SF|미스터리|스릴러
2511,"조제, 호랑이 그리고 물고기들",2021-03-31,"32,969","9,301",2021,32969,애니메이션,"조제, 호랑이 그리고 물고기들",드라마|멜로/로맨스
2512,카사노바,2006-03-10,"32,904","16,900",2006,32904,멜로/로맨스,카사노바,코메디|멜로드라마
2513,개들의 섬,2018-06-21,"32,789","21,688",2018,32789,코미디,개들의 섬,코메디|어드벤처|판타지
2514,빅 위시,2019-10-30,"32,684","5,227",2019,32684,판타지,빅 위시,판타지|어드벤처|가족
2515,킬 유어 달링,2014-10-16,"32,668","19,526",2014,32668,드라마,킬 유어 달링,스릴러|드라마
2516,시작은 키스!,2012-06-14,"32,626","25,948",2012,32626,코미디,시작은 키스!,멜로드라마|코메디
2517,발렌타인,2001-08-30,0,"32,538",2001,32538,공포(호러),발렌타인,공포(호러)|스릴러
2518,썸머 필름을 타고!,2022-07-20,"32,532","22,290",2022,32532,기타,썸머 필름을 타고!,코메디|드라마|판타지|멜로/로맨스
2519,꼬마 잠수함 올리 2,2014-12-04,"32,453","3,201",2014,32453,애니메이션,꼬마잠수함 올리2,어드벤처
2520,거미줄에 걸린 소녀,2018-11-28,"32,418","11,886",2018,32418,액션,거미줄에 걸린 소녀,범죄|드라마|스릴러|액션
2521,인어공주 : 새로운 모험의 시작,2016-11-03,"32,350","4,628",2016,32350,애니메이션,인어공주: 새로운 모험의 시작,어드벤처|아동
2522,다가오는 것들,2016-09-29,"32,307","24,821",2016,32307,드라마,다가오는 것들,드라마
2523,뮤턴트: 다크 에이지,2009-01-08,"32,267","9,343",2009,32267,액션,뮤턴트: 다크에이지,액션|SF|어드벤처
2524,40데이즈 40나이트,2002-05-17,0,"32,243",2002,32243,코미디,40 데이즈 40 나이트,코메디|드라마
2525,케이-펙스,2003-09-19,"32,204","15,073",2003,32204,판타지,케이-펙스,드라마|SF|미스터리|판타지
2526,팔로우,2015-04-02,"32,187","9,961",2015,32187,공포(호러),팔로우,공포
2527,클라우즈 오브 실스마리아,2014-12-18,"32,126","24,311",2014,32126,드라마,클라우즈 오브 실스마리아,드라마
