번호,영화명,개봉일,전국관객수,서울관객수,개봉연도,관객수기준,장르,kmdb제목,kmdb장르
1689,레이디 버드,2018-04-04,"97,777","53,878",2018,97777,코미디,레이디 버드,드라마|코메디
1690,극장판 도라에몽: 진구와 하늘의 유토피아,2023-07-08,"97,402","15,052",2023,97402,애니메이션,극장판 도라에몽: 진구와 하늘의 유토피아,SF|어드벤처
1691,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,2020-09-30,"97,398","17,678",2020,97398,애니메이션,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,어드벤처|액션|가족
1692,쓰리 빌보드,2018-03-15,"97,079","60,009",2018,97079,코미디,쓰리 빌보드,드라마|범죄|코메디
1693,다크타워: 희망의 탑,2017-08-23,"97,017","31,833",2017,97017,액션,다크타워: 희망의 탑,액션|어드벤처
1694,위대한 침묵,2009-12-03,"96,824","74,456",2009,96824,다큐멘터리,위대한 침묵,드라마|서부
1695,하치 이야기,2010-02-18,"96,683","29,915",2010,96683,드라마,하치 이야기,드라마|가족
1696,소피와 드래곤: 마법책의 비밀,2019-10-02,"96,495","16,231",2019,96495,애니메이션,소피와 드래곤: 마법책의 비밀,판타지|어드벤처
1697,바스티유 데이,2016-10-13,"96,305","29,327",2016,96305,액션,바스티유 데이,액션|드라마
1698,안테벨룸,2022-02-23,"95,983","36,280",2022,95983,미스터리,안테벨룸,스릴러|드라마|공포|미스터리
1699,화양연화,2000-10-20,0,"95,609",2000,95609,드라마,화양연화,드라마|멜로드라마
1700,퍼햅스 러브,2006-01-05,"95,594","47,245",2006,95594,뮤지컬,퍼햅스 러브,뮤지컬
1701,프릭스,2002-08-29,0,"95,400",2002,95400,SF,프릭스,액션|코메디|공포(호러)|SF
1702,진주 귀걸이를 한 소녀,2004-09-03,"95,000","46,643",2004,95000,드라마,진주 귀걸이를 한 소녀,드라마|전기|멜로/로맨스
1703,S러버,2009-09-17,"94,920","39,585",2009,94920,코미디,S러버,드라마|멜로드라마
1704,용의자 X의 헌신,2009-04-09,"94,790","43,281",2009,94790,미스터리,용의자 X의 헌신,드라마|범죄|미스터리
1705,사일런스,2017-02-28,"94,750","38,435",2017,94750,드라마,사일런스,드라마|역사
1706,초한지 - 천하대전,2012-01-11,"94,652","26,810",2012,94652,액션,초한지 - 천하대전,시대극/사극|액션
1707,인비저블 게스트,2017-09-21,"94,281","44,659",2017,94281,범죄,인비저블 게스트,범죄|미스터리|스릴러
1708,"나, 다니엘 블레이크",2016-12-08,"94,266","60,048",2016,94266,드라마,"나, 다니엘 블레이크",드라마
1709,나의 산티아고,2016-07-14,"94,243","51,590",2016,94243,코미디,나의 산티아고,코메디
1710,4 브라더스,2005-10-14,"94,200","40,000",2005,94200,액션,4 브라더스,액션|드라마|범죄
1711,마야2,2018-02-01,"94,179","15,990",2018,94179,애니메이션,마야2,어드벤처|아동
1712,커다랗고 커다랗고 커다란 배,2018-05-03,"94,151","14,674",2018,94151,애니메이션,커다랗고 커다랗고 커다란 배,어드벤처|아동
1713,아이 엠 마더,2019-04-11,"94,119","32,731",2019,94119,액션,아이 엠 마더,액션|드라마|스릴러
1714,아메리칸 파이 웨딩,2003-11-14,"94,000","48,867",2003,94000,멜로/로맨스,아메리칸 파이 웨딩,코메디
1715,하나와 앨리스,2004-11-17,"93,740","63,900",2004,93740,드라마,하나와 앨리스,코메디|드라마|하이틴(고교)
1716,베일리 어게인,2018-11-22,"93,691","35,522",2018,93691,어드벤처,베일리 어게인,어드벤처|드라마|코메디
1717,프리스트,2011-06-09,"93,336","32,203",2011,93336,액션,프리스트,액션|공포(호러)|SF|스릴러
1718,러브 앳,2019-11-27,"93,311","39,138",2019,93311,멜로/로맨스,러브 앳,멜로/로맨스|코메디
1719,써티 데이즈 오브 나이트,2008-01-10,"93,191","34,592",2008,93191,공포(호러),써티 데이즈 오브 나이트,공포(호러)
1720,프렌치 디스패치,2021-11-18,"93,116","59,283",2021,93116,코미디,프렌치 디스패치,코메디|드라마|멜로/로맨스
1721,태풍이 지나가고,2016-07-27,"93,005","63,098",2016,93005,드라마,태풍이 지나가고,드라마|가족
1722,루이스,2018-09-20,"93,000","21,102",2018,93000,애니메이션,루이스,어드벤처|코메디
1723,본 투 비 블루,2016-06-09,"92,729","55,475",2016,92729,드라마,본 투 비 블루,전기|드라마|뮤직
1724,파이브 피트,2019-04-10,"92,713","35,861",2019,92713,드라마,파이브 피트,드라마|멜로드라마
1725,아틀란티스 : 잃어버린 제국,2001-07-13,0,"92,693",2001,92693,SF,아틀란티스:잃어버린 제국,액션|코메디|SF|어드벤처|판타지
1726,7번째 아들,2015-02-11,"92,598","25,546",2015,92598,어드벤처,7번째 아들,가족|어드벤처|판타지
1727,몬스터,2004-06-18,"92,535","52,855",2004,92535,드라마,몬스터,드라마|동성애|범죄|전기|스릴러
1728,아미티빌 호러,2005-07-01,"92,433","32,832",2005,92433,공포(호러),아미티빌 호러,공포(호러)
1729,크리미널,2016-06-22,"92,358","31,545",2016,92358,액션,크리미널,범죄|액션|미스터리|스릴러
1730,"여름을 향한 터널, 이별의 출구",2023-09-14,"92,331","22,873",2023,92331,애니메이션,"여름을 향한 터널, 이별의 출구",SF|멜로/로맨스|판타지|청춘영화
1731,메종 드 히미코,2006-01-26,"91,960","69,302",2006,91960,드라마,메종 드 히미코,드라마
1732,웨딩플래너,2001-05-18,0,"91,599",2001,91599,멜로/로맨스,웨딩 플래너,코메디
1733,구스 베이비,2019-01-16,"91,430","14,539",2019,91430,애니메이션,구스 베이비,코메디|가족
1734,패솔로지,2008-04-17,"91,253","34,212",2008,91253,공포(호러),패솔로지,공포(호러)|범죄|스릴러
1735,포커스,2015-02-26,"91,164","28,313",2015,91164,코미디,포커스,드라마
1736,마마,2013-01-23,"91,143","29,260",2013,91143,공포(호러),마마,공포|스릴러
1737,데쓰 프루프,2007-09-06,"91,066","41,727",2007,91066,액션,데쓰 프루프,액션|스릴러
1738,타워 하이스트,2011-11-17,"90,840","25,972",2011,90840,액션,타워 하이스트,액션|코메디|범죄
1739,스피릿,2002-07-04,0,"90,821",2002,90821,애니메이션,스피릿,드라마|서부|어드벤처|가족
